,ndcg@10,recall@10,precision@10,hit_rate@10,coverage@10,diversity@10,pop_bias@10
sasrec_lite,0.0298,0.0576,0.0058,0.0576,0.1973,0.6555,500.9987
semantic_id_generative,0.0252,0.0498,0.005,0.0498,0.5331,0.5499,1455.5634
als,0.0129,0.0302,0.003,0.0302,0.2452,0.6439,460.6033
two_tower,0.0125,0.0234,0.0023,0.0234,0.1636,0.6026,481.4022
ncf,0.0111,0.0238,0.0024,0.0238,0.1256,0.6503,250.6627
popularity,0.009,0.0178,0.0018,0.0178,0.005,0.6539,8.2012
lightgcn,0.0089,0.0174,0.0017,0.0174,0.0157,0.6539,99.6274
mf_bpr_pytorch,0.0086,0.0162,0.0016,0.0162,0.0048,0.6358,10.6626
content_based,0.0024,0.0052,0.0005,0.0052,0.3475,0.0358,3601.5772
